Designator,Mid X,Mid Y,Rotation,Layer
BT1,203.181308,-103.356611,90.0,top
D1,45.674495,-51.267675,90.0,bottom
D10,207.674495,-51.267675,90.0,bottom
D11,225.674495,-51.267675,90.0,bottom
D12,243.674495,-51.267675,90.0,bottom
D13,45.674495,-68.267675,90.0,bottom
D14,63.674495,-68.267675,90.0,bottom
D15,81.674495,-68.267675,90.0,bottom
D16,99.674495,-68.267675,90.0,bottom
D17,117.674495,-68.267675,90.0,bottom
D18,135.674495,-68.267675,90.0,bottom
D19,153.674495,-68.267675,90.0,bottom
D2,63.674495,-51.267675,90.0,bottom
D20,171.674495,-68.267675,90.0,bottom
D21,189.674495,-68.267675,90.0,bottom
D22,207.674495,-68.267675,90.0,bottom
D23,225.674495,-68.267675,90.0,bottom
D24,243.674495,-68.267675,90.0,bottom
D25,45.674495,-85.267675,90.0,bottom
D26,63.674495,-85.267675,90.0,bottom
D27,81.674495,-85.267675,90.0,bottom
D28,99.674495,-85.267675,90.0,bottom
D29,117.674495,-85.267675,90.0,bottom
D3,81.674495,-51.267675,90.0,bottom
D30,135.674495,-85.267675,90.0,bottom
D31,153.674495,-85.267675,90.0,bottom
D32,171.674495,-85.267675,90.0,bottom
D33,189.674495,-85.267675,90.0,bottom
D34,207.674495,-85.267675,90.0,bottom
D35,225.674495,-85.267675,90.0,bottom
D36,243.674495,-85.267675,90.0,bottom
D37,99.674495,-102.267675,90.0,bottom
D38,117.674495,-102.267675,90.0,bottom
D39,135.674495,-102.267675,90.0,bottom
D4,99.674495,-51.267675,90.0,bottom
D40,153.674495,-102.267675,90.0,bottom
D41,171.674495,-102.267675,90.0,bottom
D42,189.674495,-102.267675,90.0,bottom
D5,117.674495,-51.267675,90.0,bottom
D6,135.674495,-51.267675,90.0,bottom
D7,153.674495,-51.267675,90.0,bottom
D8,171.674495,-51.267675,90.0,bottom
D9,189.674495,-51.267675,90.0,bottom
S1,49.056308,-47.595361,0.0,top
S10,211.056308,-47.595361,0.0,top
S11,229.056308,-47.595361,0.0,top
S12,247.056308,-47.595361,0.0,top
S13,49.056308,-64.595361,0.0,top
S14,67.056308,-64.595361,0.0,top
S15,85.056308,-64.595361,0.0,top
S16,103.056308,-64.595361,0.0,top
S17,121.056308,-64.595361,0.0,top
S18,139.056308,-64.595361,0.0,top
S19,157.056308,-64.595361,0.0,top
S2,67.056308,-47.595361,0.0,top
S20,175.056308,-64.595361,0.0,top
S21,193.056308,-64.595361,0.0,top
S22,211.056308,-64.595361,0.0,top
S23,229.056308,-64.595361,0.0,top
S24,247.056308,-64.595361,0.0,top
S25,49.056308,-81.595361,0.0,top
S26,67.056308,-81.595361,0.0,top
S27,85.056308,-81.595361,0.0,top
S28,103.056308,-81.595361,0.0,top
S29,121.056308,-81.595361,0.0,top
S3,85.056308,-47.595361,0.0,top
S30,139.056308,-81.595361,0.0,top
S31,157.056308,-81.595361,0.0,top
S32,175.056308,-81.595361,0.0,top
S33,193.056308,-81.595361,0.0,top
S34,211.056308,-81.595361,0.0,top
S35,229.056308,-81.595361,0.0,top
S36,247.056308,-81.595361,0.0,top
S37,103.056308,-98.595361,0.0,top
S38,121.056308,-98.595361,0.0,top
S39,139.056308,-98.595361,0.0,top
S4,103.056308,-47.595361,0.0,top
S40,157.056308,-98.595361,0.0,top
S41,175.056308,-98.595361,0.0,top
S42,193.056308,-98.595361,0.0,top
S5,121.056308,-47.595361,0.0,top
S6,139.056308,-47.595361,0.0,top
S7,157.056308,-47.595361,0.0,top
S8,175.056308,-47.595361,0.0,top
S9,193.056308,-47.595361,0.0,top
SW1,235.806308,-103.376611,90.0,bottom
SW2,235.525058,-94.876611,90.0,bottom
U1,77.036308,-99.126611,90.0,top
